File;Sensitivity;Specificity;Accuracy;TP;FP;TN;FN
01_test.tif;0.7319633152173913;0.9837714627978171;0.9613044005333979;21549;4877;295643;7891
08_test.tif;0.23882489696713516;0.9993368062578961;0.9339041095890411;6780;200;301371;21609
20_test.tif;0.5674840304966;0.9875856654508579;0.9566917202085101;13770;3795;301900;10495
19_test.tif;0.7365094443023639;0.9876862675113768;0.9668505273366469;20159;3726;298863;7212
12_test.tif;0.421972621972622;0.991730520449796;0.9425354588434962;12022;2493;298977;16468
14_test.tif;0.6638302657720133;0.9863724640022685;0.9602951872954297;17709;4133;299150;8968
11_test.tif;0.5573309861538982;0.9885127870554988;0.9499121105588556;16463;3451;296970;13076
09_test.tif;0.39994764593695076;0.9921739732668468;0.9441780821917808;10695;2373;300846;16046
10_test.tif;0.68688319340109;0.9739303311713188;0.9503060977088131;18653;7894;294910;8503
03_test.tif;0.5779649165475937;0.9872082728812018;0.9464116862650018;19011;3800;293267;13882
16_test.tif;0.6439864388573731;0.9853315965339525;0.9545126682022064;19185;4403;295766;10606
04_test.tif;0.38541872570336694;0.9940455131072141;0.9380561280155171;11699;1784;297822;18655
15_test.tif;0.6233166765478106;0.9898154374465473;0.9635864953327676;14719;3120;303226;8895
13_test.tif;0.39406057224340496;0.9932986452850343;0.9347132985816463;12712;1995;295706;19547
02_test.tif;0.6280852323172537;0.9944660161393795;0.9569462965207904;21223;1639;294531;12567
17_test.tif;0.5359040643400833;0.9941113773882188;0.9554339919990302;14926;1779;300329;12926
06_test.tif;0.5266222443641798;0.9887390714602275;0.9437598496787489;16913;3354;294490;15203
07_test.tif;0.6035088882992836;0.9828723716511901;0.9482058431325009;18197;5135;294673;11955
18_test.tif;0.5145348837209303;0.9892072833557153;0.9515971632925203;13452;3279;300537;12692
05_test.tif;0.4770639233954451;0.9923423664428453;0.9440689780579464;14747;2290;296758;16165
